# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  17 189.997 1184.36 4.36159 0.7732
  18 197.997 1068.94 3.93878 0.762517
  19 205.997 1220.4 4.49616 0.700234
  20 213.997 1040.35 3.83182 0.777418
  21 221.997 1176.06 4.3311 0.580584
  22 229.997 1127.58 4.15579 0.74599
  23 237.997 1024 3.77246 0.620299
  24 245.997 1024.12 3.77301 0.158964
  25 253.997 1192.35 4.39047 0.831402
  26 261.997 1111.53 4.09703 0.552492
  27 269.997 1024 3.77246 0.02242
  28 277.997 768 2.82935 0.0296787
  29 285.997 768.051 2.82954 0.00906421
320000 30 36096.1
  1 63.997 1407.37 5.18863 2.41709
  2 71.997 1415.09 5.21074 2.4052
  3 79.997 1436.57 5.29085 2.33442
  4 87.997 1434.47 5.28698 2.33377
  5 95.997 1428.19 5.26355 2.30134
  6 103.997 1428.53 5.26183 2.22445
  7 111.997 1433.79 5.27999 2.20647
  8 119.997 1431.5 5.2753 2.16048
  9 127.997 1423.45 5.24355 2.0988
  10 135.997 1387.76 5.11228 1.92916
  11 143.997 1342.25 4.94396 1.67694
  12 151.997 1255.6 4.62475 1.21092
  13 159.997 1133.37 4.1762 0.890257
  14 167.997 1213.74 4.46937 0.838556
  15 175.997 1109.12 4.08814 0.845035
  16 183.997 1215.04 4.47524 0.83867
  17 191.997 1097.13 4.04191 0.82181
  18 199.997 1205.76 4.44208 0.771916
  19 207.997 1058.34 3.90048 0.73444
  20 215.997 1192.89 4.39155 0.721227
  21 223.997 1086.06 4.00293 0.706487
  22 231.997 1117.02 4.11461 0.635856
  23 239.997 1186.98 4.37343 0.690239
  24 247.997 1024 3.77246 0.463164
  25 255.997 1024 3.77246 0.24702
  26 263.997 1143.35 4.21407 0.90415
  27 271.997 1158.26 4.2646 0.353301
  28 279.997 770.394 2.83873 0.0227417
  29 287.997 1024 3.77246 0.0264832
  30 295.997 512.077 1.88652 0.00377511
330000 30 36864
  1 65.997 1405.19 5.18197 2.45541
  2 73.997 1418.4 5.2235 2.33071
  3 81.997 1432.95 5.27664 2.34174
  4 89.997 1431.42 5.27643 2.36161
  5 97.997 1429.38 5.2667 2.29484
  6 105.997 1429.37 5.2662 2.28366
  7 113.997 1440.6 5.30244 2.22096
  8 121.997 1431.91 5.2779 2.18385
  9 129.997 1427.13 5.25605 2.14014
  10 137.997 1402.25 5.16726 1.99123
  11 145.997 1369.96 5.04687 1.80728
  12 153.997 1280.61 4.71463 1.40102
  13 161.997 1204.02 4.43707 0.956604
  14 169.997 1120.5 4.12746 0.843548
  15 177.997 1208.57 4.45202 0.843627
  16 185.997 1114.18 4.10559 0.83275
  17 193.997 1203.3 4.43136 0.865007
  18 201.997 1100.79 4.05524 0.816696
  19 209.997 1192.96 4.39888 0.777016
  20 217.997 1071.23 3.9431 0.691432
  21 225.997 1186.41 4.37605 0.737833
  22 233.997 1114.86 4.10253 0.615101
  23 241.997 1095.8 4.03897 0.705186
  24 249.997 1208.07 4.44858 0.636685
  25 257.997 1024.13 3.77296 0.283746
  26 265.997 1024 3.77246 0.448672
  27 273.997 1059.74 3.90689 0.874042
  28 281.997 988.257 3.63804 0.289811
  29 289.997 1024 3.77246 0.0242357
  30 297.997 1024 3.77246 0.0209067
340000 31 38016
  1 67.9972 1405.57 5.18031 2.42065
  2 75.9972 1421.11 5.23512 2.33497
  3 83.9972 1426.23 5.25273 2.36448
  4 91.9972 1431.6 5.27681 2.33458
  5 99.9972 1429.08 5.26534 2.31842
  6 107.997 1431.52 5.27607 2.28745
  7 115.997 1440.16 5.30034 2.25496
  8 123.997 1435.2 5.28933 2.21616
  9 131.997 1429.59 5.26656 2.13428
  10 139.997 1414.57 5.21194 2.06092
  11 147.997 1392.12 5.12871 1.86959
  12 155.997 1322.47 4.86906 1.59274
  13 163.997 1200.24 4.42175 1.1301
